CrimeDate,CrimeCode
11/1/2016,8AV
11/1/2016,8AO
11/1/2016,8H
10/27/2016,8EO
10/23/2016,8AO
10/21/2016,8AO
10/21/2016,8AV
10/20/2016,8GV
10/15/2016,8J
10/14/2016,8H
10/13/2016,8J
10/13/2016,8BV
10/10/2016,8EO
10/10/2016,8H
10/9/2016,8H
10/9/2016,8H
10/9/2016,8H
10/8/2016,8H
10/8/2016,8BO
10/7/2016,8H
10/6/2016,8H
10/6/2016,8H
10/6/2016,8H
10/5/2016,8J
10/3/2016,8BV
10/2/2016,8H
10/1/2016,8I
9/29/2016,8H
9/29/2016,8AO
9/29/2016,8J
9/28/2016,8H
9/27/2016,8H
9/27/2016,8AV
9/27/2016,8H
9/26/2016,8H
9/23/2016,8H
9/22/2016,8H
9/21/2016,8H
9/19/2016,8H
9/18/2016,8H
9/17/2016,8J
9/17/2016,8J
9/16/2016,8H
9/15/2016,8H
9/14/2016,8J
9/12/2016,8J
9/10/2016,8H
9/9/2016,8H
9/6/2016,8H
9/4/2016,8H
9/3/2016,8H
8/28/2016,8H
8/27/2016,8H
8/24/2016,8H
8/24/2016,8AO
8/21/2016,8AV
8/19/2016,8H
8/17/2016,8I
8/15/2016,8H
8/13/2016,8AO
8/9/2016,8J
8/8/2016,8J
8/7/2016,8H
8/7/2016,8H
8/4/2016,8H
8/3/2016,8J
8/3/2016,8H
7/28/2016,8H
7/25/2016,8AO
7/25/2016,8J
7/23/2016,8AO
7/21/2016,8H
7/21/2016,8AO
7/17/2016,8H
7/17/2016,8H
7/17/2016,8H
7/14/2016,8H
7/14/2016,8H
7/14/2016,8J
7/13/2016,8H
7/13/2016,8AV
7/12/2016,8J
7/12/2016,8AO
7/12/2016,8H
7/12/2016,8J
7/9/2016,8EO
7/7/2016,8H
7/7/2016,8EO
7/3/2016,8H
7/2/2016,8J
6/30/2016,8H
6/29/2016,8H
6/29/2016,8H
6/29/2016,8H
6/28/2016,8AO
6/28/2016,8H
6/27/2016,8AO
6/27/2016,8H
6/26/2016,8J
6/25/2016,8J
